Date,Type,Price,Profit,run_date
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
2021-12-01,Buy,5887841.0,,2026-05-22
2021-12-02,Sell,4906534.5,-981306.5,2026-05-22
2021-12-23,Buy,2052641.875,,2026-05-22
2022-01-18,Sell,1377430.625,-675211.25,2026-05-22
2022-02-08,Buy,364614.0,,2026-05-22
2022-04-05,Sell,634496.9375,269882.9375,2026-05-22
2022-04-20,Buy,634496.9375,,2026-05-22
2022-04-25,Sell,558549.5625,-75947.375,2026-05-22
2022-05-17,Buy,601810.6875,,2026-05-22
2022-06-13,Sell,536034.9375,-65775.75,2026-05-22
2022-07-07,Buy,458759.8125,,2026-05-22
2022-07-13,Sell,417676.84375,-41082.96875,2026-05-22
2022-07-19,Buy,430393.0,,2026-05-22
2022-07-21,Sell,406917.03125,-23475.96875,2026-05-22
2022-07-22,Buy,406917.03125,,2026-05-22
2022-08-23,Sell,422000.0,15082.96875,2026-05-22
2022-09-12,Buy,420000.0,,2026-05-22
2022-09-16,Sell,400000.0,-20000.0,2026-05-22
2022-10-28,Buy,240000.0,,2026-05-22
2022-12-07,Sell,201000.0,-39000.0,2026-05-22
